id,name,category,dest,area,country,region,email,phone,website,address,lat,lng,hygiene,rating,source,channel,priority,status
9512505043b5aef0dcb2,Panachi restaurant,Restaurant,phuket,Bang Tao,TH,Asia,,,,,8.02215,98.30681,,,osm,walk-in,6,new
6d13c926bc65b86be727,Panda Hill,Restaurant,phuket,Nai Harn,TH,Asia,,,,,7.76237,98.30904,,,osm,walk-in,6,new
114621019b268280843c,Panwa Green,Guesthouse,phuket,Cape Panwa,TH,Asia,,,,Panwa Green ถนนศักดิ์ดีจนะ,7.84111,98.38339,,,osm,walk-in,6,new
d881a758d8ceb57c73a5,Panwa Healthcare Pharmacy,Pharmacy,phuket,Cape Panwa,TH,Asia,,,,,7.81003,98.40205,,,osm,walk-in,6,new
5ed7d2389915a3f066b6,Panwa House,Restaurant,phuket,Cape Panwa,TH,Asia,,,https://capepanwa.com/panwahouse/,,7.8058,98.41011,,,osm,walk-in,6,new
6344cc31a352198b358d,Panwa Pharmacy,Pharmacy,phuket,Cape Panwa,TH,Asia,,,,,7.80552,98.40579,,,osm,walk-in,6,new
627b570bbed38e139307,Panwa Seaview Bistro,Restaurant,phuket,Cape Panwa,TH,Asia,,,,,7.8066,98.40769,,,osm,walk-in,6,new
ddb27f8cd49c5d5b4720,Papaya,Restaurant,phuket,Patong,TH,Asia,,,,,7.89259,98.29469,,,osm,walk-in,6,new
d1180fccac812acadcdf,Papaya Restaurant,Restaurant,phuket,Karon,TH,Asia,,,,,7.84921,98.29486,,,osm,walk-in,6,new
c402752f72dd6acde848,Par Phuket Hotel,Hotel,phuket,Kathu,TH,Asia,,,,,7.89821,98.34568,,,osm,walk-in,6,new
2499685fbb30cbcdfa4a,Paradise,Restaurant,phuket,Karon,TH,Asia,,,,,7.83407,98.29642,,,osm,walk-in,6,new
b685fd60ac670f914267,Paradise Beach,Restaurant,phuket,Patong,TH,Asia,,,,,7.89073,98.26527,,,osm,walk-in,6,new
add75c700e61c17c0bea,Paradise Beach Resortel,Hotel,phuket,Patong,TH,Asia,,,,,7.9016,98.305,,,osm,walk-in,6,new
03d4292697783c61e467,Paradise Inn,Guesthouse,phuket,Karon,TH,Asia,,,,,7.84902,98.29464,,,osm,walk-in,6,new
39836e9c6e2a46104a5d,Paradise Inn Phuket,Hotel,phuket,Karon,TH,Asia,,,,,7.84884,98.29446,,,osm,walk-in,6,new
71b72b58102eb6aaf509,Paradise pool,Café,phuket,Chalong,TH,Asia,,,,,7.84618,98.34389,,,osm,walk-in,6,new
70663077ca5507b061c4,Paradox Resort Phuket,Hotel,phuket,Karon,TH,Asia,,,,,7.84583,98.2969,,,osm,walk-in,6,new
0f578a582af2c255e2ed,Paresa Resort Phuket,Hotel,phuket,Kamala,TH,Asia,,,,,7.93324,98.26199,,,osm,walk-in,6,new
7975e5759e88046f87b0,Parinya Pharmacist,Pharmacy,phuket,Old Town,TH,Asia,,,,,7.89424,98.38794,,,osm,walk-in,6,new
fe67b3ada279a267c50b,Paris bakery & deli,Café,phuket,Nai Harn,TH,Asia,,,,,7.79157,98.31742,,,osm,walk-in,6,new
b7843bd780f3ab4af1fc,Parrot,Bar,phuket,Patong,TH,Asia,,,,,7.89415,98.29844,,,osm,walk-in,6,new
152f2b1058415aa5f547,Parrot Bar 2,Bar,phuket,Patong,TH,Asia,,,,,7.89675,98.30031,,,osm,walk-in,6,new
7ddb67f68cb7834b9e88,Pasha,Restaurant,phuket,Karon,TH,Asia,,,https://pashaphuket.com,,7.84281,98.29466,,,osm,walk-in,6,new
0f3953a1a9abaa1d4cb7,Pat's Cocktails Cafe,Bar,phuket,Rawai,TH,Asia,,,,,7.77515,98.32658,,,osm,walk-in,6,new
11c131adfede9fc59be6,Patak Pharmacy,Pharmacy,phuket,Kata,TH,Asia,,,,,7.82689,98.30168,,,osm,walk-in,6,new
e5ff42a80158bf73d7f8,Patama Massage,Massage & spa,phuket,Nai Yang,TH,Asia,,,,,8.0902,98.29851,,,osm,walk-in,6,new
439944d3fa931286fe8d,Patong Beach,Attraction,phuket,Patong,TH,Asia,,,,,7.89389,98.29496,,,osm,walk-in,6,new
c000e8214e1e8e3ef25b,Patong Beach Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.89236,98.29571,,,osm,walk-in,6,new
79816b792a1924127fc2,Patong Boyz Town,Bar,phuket,Patong,TH,Asia,,,,,7.89571,98.29968,,,osm,walk-in,6,new
44f43afb9dc66c820906,Patong City Hometel,Hotel,phuket,Patong,TH,Asia,,,,,7.89808,98.30188,,,osm,walk-in,6,new
96635ee2cab256eb424c,Patong Grand Condotel ป่าตองแกรนด์คอนโดเทล,Hotel,phuket,Patong,TH,Asia,,,,,7.90005,98.30229,,,osm,walk-in,6,new
e456e858de5c71fe7969,Patong Grand Villa,Hotel,phuket,Patong,TH,Asia,,,,,7.8754,98.28893,,,osm,walk-in,6,new
930b6a38b8f0f8a9dc4e,Patong Health Care,Pharmacy,phuket,Patong,TH,Asia,,,,,7.89699,98.30009,,,osm,walk-in,6,new
86d187eb1f4dc01b9381,Patong Hemingway's Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.89308,98.30032,,,osm,walk-in,6,new
61fb95d1e61a8259d293,Patong Hills,Hotel,phuket,Patong,TH,Asia,,,,,7.87951,98.2944,,,osm,walk-in,6,new
7a9ecf1250da983494cc,Patong Inn,Hotel,phuket,Patong,TH,Asia,,,,,7.89334,98.2951,,,osm,walk-in,6,new
5c98a772083164b1fb34,Patong Lodge Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.9102,98.29667,,,osm,walk-in,6,new
c0fe7d64bf61085049a7,Patong Max Value Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.89838,98.30187,,,osm,walk-in,6,new
c24b4d405d72791a207a,Patong Merlin Hotel,Hotel,phuket,Patong,TH,Asia,,,,44 Thaveewong Road,7.88712,98.29255,,,osm,walk-in,6,new
36f01ef71d4814bf0d28,Patong Palace Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.90173,98.3008,,,osm,walk-in,6,new
9000f14a22d7194e4bcc,Patong Palm Guest House,Guesthouse,phuket,Patong,TH,Asia,,,,,7.90033,98.30102,,,osm,walk-in,6,new
897cb426976c8bd2489d,Patong Paragon Resort & SPA,Hotel,phuket,Patong,TH,Asia,,,,,7.9065,98.2978,,,osm,walk-in,6,new
17bf629d4c344871f553,Patong Pearl,Restaurant,phuket,Patong,TH,Asia,,,,13 Sawatdirak Patong,7.89744,98.29905,,,osm,walk-in,6,new
8c773ed761af493f0281,Patong Resort,Hotel,phuket,Patong,TH,Asia,,,,,7.89116,98.29631,,,osm,walk-in,6,new
815ad79122c43af3582c,Patong Signature Boutique Hotel,Hotel,phuket,Patong,TH,Asia,,,,,7.88586,98.28902,,,osm,walk-in,6,new
17683d0a55954aa2da54,Patong Sub Inn,Hotel,phuket,Patong,TH,Asia,,,,,7.89666,98.29994,,,osm,walk-in,6,new
cf1f9b935f39c4b6b2c2,Patong Swiss Hotel Beach Front,Hotel,phuket,Patong,TH,Asia,,,,,7.88604,98.28983,,,osm,walk-in,6,new
036733f9b347e9966c15,Patong Tattoo Bar 2,Bar,phuket,Patong,TH,Asia,,,,,7.89684,98.3,,,osm,walk-in,6,new
08be66e6805a9bb96453,Patong Villas,Hotel,phuket,Patong,TH,Asia,,,,,7.89516,98.29676,,,osm,walk-in,6,new
e702f1140f24de091c58,Patong cottage,Hotel,phuket,Patong,TH,Asia,,,,,7.88123,98.30011,,,osm,walk-in,6,new
f5c3e94b4af1b88d6e97,Patrada,Massage & spa,phuket,Nai Yang,TH,Asia,,,,,8.08683,98.30006,,,osm,walk-in,6,new
7ad6c0fdbd75a31f3752,Patty,Massage & spa,phuket,Kamala,TH,Asia,,,,,7.94966,98.28052,,,osm,walk-in,6,new
18c27512b92ced0a3a72,Paulaner,Restaurant,phuket,Patong,TH,Asia,,,,,7.88934,98.29475,,,osm,walk-in,6,new
81bae8d4c30baf59ba75,Paya Massage,Massage & spa,phuket,Cape Panwa,TH,Asia,,,,,7.80683,98.40818,,,osm,walk-in,6,new
60880ad0b6e5ba05868a,Pea 88,Vehicle rental,phuket,Airport,TH,Asia,,,,,8.10644,98.30856,,,osm,walk-in,6,new
c90920fca86498ebb8e7,Peach Restaurant,Restaurant,phuket,Kata,TH,Asia,,,,,7.82634,98.29664,,,osm,walk-in,6,new
c91b9229a237fa521fb7,Pearl Hotel Phuket,Hotel,phuket,Phuket Town,TH,Asia,,,,ถนนมนตรี Talat Yai,7.88206,98.3922,,,osm,walk-in,6,new
627da672479f8a340570,Pearl of Naithon,Hotel,phuket,Nai Yang,TH,Asia,,,https://pearlofnaithon.com/,,8.06152,98.27834,,,osm,walk-in,6,new
fd40384469fdc8fbdded,Pearls,Bar,phuket,Kata,TH,Asia,,,,,7.82557,98.29717,,,osm,walk-in,6,new
2dab981c3bc631c74fcc,Pelmenya,Restaurant,phuket,Nai Harn,TH,Asia,,,,,7.7878,98.31699,,,osm,walk-in,6,new
57a4156150ed19af80a4,Pen Villa,Guesthouse,phuket,Surin,TH,Asia,,,,,7.978,98.28413,,,osm,walk-in,6,new
